"","Overall"
"RAWLb1",2.97904531419704e-08
"RAWLb2",3.54477008338308e-08
"RAWLb3",6.54143501069837e-08
"RAWLb4",1.17199303177312e-07
"RAWLb5",1.21961163151113e-07
"RAWLb6",9.24976128995149e-08
"RAWLb7",6.29685788810335e-08
"RAWSb1",3.03667148687767e-08
"RAWSb2",3.65832011295132e-08
"RAWSb3",6.41131594913578e-08
"RAWSb4",1.17190898961974e-07
"RAWSb5",1.27630143041289e-07
"RAWSb6",1.342445671499e-07
"RAWSb7",1.3431174834249e-07
"RAWSb8",1.25202799520305e-07
"RAWSb9",1.18177082440077e-07
"RAWSb10",9.47958089608943e-08
"RAWSb11",9.25686236199346e-08
"RAWSb12",5.16047101628473e-08
"RAWWb1",5.65873688208625e-08
"RAWWb2",9.67784404669541e-08
"RAWWb3",1.15864936007423e-07
"RAWWb4",1.31734545190254e-07
"RAWWb5",1.26995453661535e-07
"RAWWb6",1.19442107039138e-07
"RAWWb7",1.15807278422982e-07
"RAWWb8",9.31236039548036e-08
"RAWWb9",9.15712511657585e-08
"RAWWb10",9.15712511657585e-08
"RAWWb11",8.94562661706211e-08
"RAWWb12",6.22131546491726e-08
"RAWWb13",4.81423444865213e-08
"RAWWb14",6.59016700276225e-08
"SMOLb1",2.97832922250565e-08
"SMOLb2",3.54535313181771e-08
"SMOLb3",6.5435006703866e-08
"SMOLb4",1.17198879739073e-07
"SMOLb5",1.21967274968947e-07
"SMOLb6",9.24975298742135e-08
"SMOLb7",6.29667327642609e-08
"SMOSb1",3.03221788433907e-08
"SMOSb2",3.6514776141716e-08
"SMOSb3",6.41523458619483e-08
"SMOSb4",1.17180661855265e-07
"SMOSb5",1.27643067651617e-07
"SMOSb6",1.34246325024966e-07
"SMOSb7",1.34282856175495e-07
"SMOSb8",1.25210088559502e-07
"SMOSb9",1.18145992525909e-07
"SMOSb10",9.46404511687449e-08
"SMOSb11",9.25506182082532e-08
"SMOSb12",5.15070632191389e-08
"SMOWb1",5.66126982612272e-08
"SMOWb2",9.6744630864775e-08
"SMOWb3",1.15861954308597e-07
"SMOWb4",1.3172247048059e-07
"SMOWb5",1.26994684386457e-07
"SMOWb6",1.1944445031262e-07
"SMOWb7",1.15804237961788e-07
"SMOWb8",9.31224498866718e-08
"SMOWb9",9.1570814798139e-08
"SMOWb10",9.1570814798139e-08
"SMOWb11",8.94521828539296e-08
"SMOWb12",6.22265035280657e-08
"SMOWb13",4.82181807163477e-08
"SMOWb14",6.58750905670575e-08
"SGDLb1",1.66671496481021e-10
"SGDLb2",1.55396869290461e-10
"SGDLb3",6.74324761663794e-10
"SGDLb4",2.57851126152413e-10
"SGDLb5",1.17415879783362e-10
"SGDLb6",1.05801250086396e-11
"SGDLb7",5.992987822561e-11
"SGDSb1",1.57924626261649e-10
"SGDSb2",1.95744190346267e-10
"SGDSb3",7.92638432064094e-10
"SGDSb4",2.59481584581166e-10
"SGDSb5",2.37406617874834e-10
"SGDSb6",1.04654863631219e-10
"SGDSb7",9.47439772118179e-11
"SGDSb8",1.52595760529174e-10
"SGDSb9",0
"SGDSb10",6.99423893929816e-10
"SGDSb11",1.76651006878497e-11
"SGDSb12",4.25077073972946e-10
"SGDWb1",5.54367302831564e-10
"SGDWb2",5.38553437455183e-10
"SGDWb3",2.61532021024085e-10
"SGDWb4",1.70305221273858e-10
"SGDWb5",1.21715651734542e-10
"SGDWb6",4.73020629528733e-12
"SGDWb7",4.72052646578364e-11
"SGDWb8",7.59468274208687e-13
"SGDWb9",1.17984188150882e-11
"SGDWb10",1.17984188150882e-11
"SGDWb11",4.48863257441205e-11
"SGDWb12",4.79565521353715e-10
"SGDWb13",7.56503591374496e-11
"SGDWb14",1.16225607409876e-10
"RAWfe1a",2.87414382871054e-08
"RAWfe1s",6.03708051766185e-07
"RAWfe2a",3.49018420291358e-08
"RAWfe2s",7.33076531452847e-07
"RAWfe3a",1.1820694866459e-07
