"","Overall"
"X361",43.0351233011553
"X362",45.5485834889631
"X363",47.646705763804
"X364",97.9369844418538
"X365",100
"X366",66.8799336182704
"X367",29.9360502255402
"X368",21.4193143750974
"X369",16.8110140490668
"X370",19.5447973053673
"X371",15.7757704524009
"X372",20.8590783909695
"X373",15.0916269377986
"X374",37.2089059750143
"X375",61.143491197972
"X376",58.9943807084949
"X377",38.7575305379882
"X378",16.0770481478384
"X379",6.92956886190558
"X380",11.4306897462443
"X381",21.9958641591739
"X382",20.3224776867556
"X383",12.2281472716427
"X384",9.26505478497336
"X385",12.4842005603813
"X386",23.0872562668387
"X387",31.3362822785034
"X388",24.1599950404466
"X389",10.0166302704623
"X390",5.79222420327332
"X391",19.2456805953545
"X392",33.3343543269747
"X393",37.8865713116749
"X394",34.706490446022
"X395",29.4147190557689
"X396",22.2897163709255
"X397",20.1854329269369
"X398",27.9250195577963
"X399",29.961209895867
"X400",21.5838269357361
"X401",13.6327132095482
"X402",17.0408693945802
"X403",23.175663672436
"X404",24.535866202056
"X405",26.4131265363738
"X406",23.9607261383654
"X407",18.9128312119137
"X408",15.8094216908853
"X409",16.6356223568422
"X410",18.0139216564686
"X411",15.0743847249005
"X412",13.1324044320857
"X413",12.9583160403821
"X414",16.968264252844
"X415",21.5280472242862
"X416",27.266423132685
"X417",23.5583506575144
"X418",19.3003624976566
"X419",19.0717356318223
"X420",22.3863192388023
"X421",24.6731365646478
"X422",23.551290863212
"X423",21.6836681031875
"X424",21.0109855895529
"X425",22.7790358029132
"X426",25.7485788214367
"X427",28.8899732128089
"X428",27.3857776947166
"X429",26.6883000197572
"X430",27.0770255530478
"X431",29.3372912568152
"X432",30.1430363745495
"X433",28.8629393783612
"X434",26.3971451421928
"X435",25.0048702760003
"X436",22.620970651581
"X437",20.6308380804055
"X438",20.6053692036198
"X439",20.0507076738539
"X440",19.2761920245483
"X441",19.3406686247804
"X442",20.5912611760725
"X443",21.5749217199601
"X444",22.0535422537229
"X445",23.3907560199117
"X446",23.406260105683
"X447",21.7048378605779
"X448",20.347186736344
"X449",20.6610432371802
"X450",20.4105541874256
"X451",18.0853857697814
"X452",16.2303302314611
"X453",18.316352362799
"X454",20.9330118221334
"X455",22.0652698530041
"X456",23.7672182828588
"X457",25.0909221810409
"X458",25.6441682103016
"X459",25.6510447199357
"X460",26.4267777663161
"X461",24.8071570575449
"X462",22.3676231323947
"X463",20.7009822752508
"X464",20.2372265655243
"X465",21.3303841175672
"X466",22.3353635490047
"X467",22.0153991510563
"X468",21.3006927919742
"X469",21.0813981086612
"X470",21.1511378252445
"X471",21.8300951545719
"X472",21.5490746501434
"X473",20.9626963839204
"X474",21.9923438941969
"X475",22.01540082975
"X476",22.5523991207219
"X477",24.2556977403581
"X478",25.6475101706585
"X479",25.0493356507222
"X480",24.0268804768675
"X481",23.7585138773012
"X482",22.3820617611895
"X483",21.8376475987021
"X484",21.6896249774004
"X485",22.581279380041
"X486",22.6595658814173
"X487",21.763742323228
"X488",21.6290552736934
"X489",22.0983122092139
"X490",22.3859381451742
"X491",22.724418644349
"X492",22.8404442115736
"X493",23.2362163458511
"X494",23.5997317880844
"X495",24.0682853992793
"X496",25.1282957614993
"X497",25.5544797873142
"X498",24.9720286902645
"X499",24.1768048952409
"X500",23.9299581583758
"X501",24.2345983726214
"X502",24.9087738411733
"X503",24.716133235238
"X504",24.923138390468
"X505",25.2471126278179
"X506",25.6326275521523
"X507",24.835241262195
"X508",24.454208126469
"X509",23.8633872503818
"X510",23.134481836194
"X511",22.9376422058379
"X512",22.9722641313459
"X513",23.8208906792373
"X514",24.8394028883319
"X515",25.5271139252097
"X516",25.6049806627544
"X517",26.1104579774235
"X518",25.1819216428602
"X519",24.824484611112
"X520",24.4961160952842
"X521",24.3657161880708
"X522",24.2287159961758
"X523",24.3018636968027
"X524",25.4865157335507
"X525",25.8372744137148
"X526",25.785164772572
"X527",24.8669959718131
"X528",25.0902719094823
"X529",25.19403267586
"X530",25.8134183264123
"X531",25.3902117284933
"X532",25.0452630689153
"X533",24.972958584342
"X534",25.3699753147798
"X535",26.3724883631728
"X536",26.6399133207596
"X537",26.9671908090878
"X538",27.5065272651753
"X539",28.2412358069409
"X540",29.1131083371007
"X541",30.0524007377568
"X542",30.4178615668307
"X543",30.9782997320979
"X544",31.9471428169545
"X545",32.949884626659
"X546",34.0215306114385
"X547",34.633926766566
"X548",35.4342715549735
"X549",36.252842530404
"X550",37.0910823119933
"X551",37.8064740268524
"X552",38.3640073517114
"X553",38.8861338733926
"X554",39.0586970235722
"X555",39.8135380632068
"X556",40.3378410250949
"X557",41.0369044579542
"X558",41.3292221239157
"X559",41.7975728084956
"X560",42.7826089990292
"X561",43.6919766416796
"X562",44.3123852637595
"X563",44.8723113041545
"X564",45.6882456235845
"X565",46.0859150076738
"X566",46.4820013883105
"X567",46.6836403402612
"X568",46.5916874498375
"X569",46.5785907579232
"X570",46.4629994900717
"X571",46.2187399221191
"X572",45.8905375047275
"X573",45.3976005602931
"X574",44.9996729201362
"X575",44.7892558058373
