"","Overall"
"X360",2.08363890203051
"X361",9.19003634767596
"X362",12.8241123509004
"X363",15.1731782993224
"X364",19.2424093723913
"X365",24.9497367154646
"X366",29.3865701935881
"X367",32.0017887136871
"X368",34.7731668635776
"X369",36.6322255643223
"X370",39.2981065612958
"X371",42.9630857105787
"X372",44.6717213212298
"X373",45.8893991863677
"X374",47.0470905716062
"X375",49.2793656049627
"X376",52.1110915951771
"X377",54.4164104581152
"X378",55.9712611435436
"X379",56.4420140338321
"X380",56.9548061321064
"X381",58.2668478393015
"X382",59.540538920904
"X383",60.2736522473896
"X384",60.4078371359052
"X385",60.252729491587
"X386",60.6534840870305
"X387",61.9828781785862
"X388",63.721980807425
"X389",64.4267766002683
"X390",64.2294558334447
"X391",63.9628543060205
"X392",64.7524792182573
"X393",66.0847484521043
"X394",67.1792436678124
"X395",68.1018973357817
"X396",68.6469214786072
"X397",68.5915747358292
"X398",68.8375893863353
"X399",69.8342559119983
"X400",70.8856854622995
"X401",71.0085550819777
"X402",71.1432230856949
"X403",71.773250181319
"X404",72.3648440737
"X405",72.7901009246115
"X406",73.4323644919936
"X407",73.7112372489664
"X408",73.7461630828683
"X409",73.9049234001074
"X410",74.2194224450928
"X411",74.4481134658012
"X412",74.5856009794353
"X413",74.7824448349891
"X414",74.9062378502569
"X415",75.025043410921
"X416",75.7130686219721
"X417",76.4278748878699
"X418",76.7275168990243
"X419",76.9808803340972
"X420",77.3057409550873
"X421",77.8410361397454
"X422",78.2380460208364
"X423",78.5554168112133
"X424",78.7410830315725
"X425",78.9565633744994
"X426",79.16157383037
"X427",79.6544382144348
"X428",80.1706249185192
"X429",80.5111598396094
"X430",80.6638233731394
"X431",80.9537535837563
"X432",81.4083355591068
"X433",81.8642561577893
"X434",82.0988951496563
"X435",82.2977711887338
"X436",82.4979855737136
"X437",82.6183737335795
"X438",82.754540060724
"X439",82.9096118899789
"X440",83.0425072207277
"X441",83.0995612163659
"X442",83.1766455353954
"X443",83.4141031387821
"X444",83.6240534438094
"X445",83.7444809751965
"X446",84.0007791122802
"X447",84.1838722810568
"X448",84.2316822060424
"X449",84.3240398763709
"X450",84.5616645716874
"X451",84.7667650899978
"X452",84.789786289106
"X453",84.8603044881509
"X454",85.1258030317496
"X455",85.3803611774248
"X456",85.7097707329018
"X457",86.1054545256811
"X458",86.514412834821
"X459",86.8754821495105
"X460",87.2135899581459
"X461",87.654577726074
"X462",88.0039120772814
"X463",88.2453070558458
"X464",88.5271734382088
"X465",88.8062993249036
"X466",89.1317755882833
"X467",89.4737265152825
"X468",89.7807062780206
"X469",90.0437694423402
"X470",90.2566139662094
"X471",90.6003212379016
"X472",90.9400347953207
"X473",91.247163186503
"X474",91.5960188425939
"X475",91.9665304527772
"X476",92.254689754319
"X477",92.5603183199385
"X478",92.9718079640599
"X479",93.4019451475315
"X480",93.7901753774346
"X481",94.1845762501471
"X482",94.537616768958
"X483",94.8217274862756
"X484",95.041639768612
"X485",95.2609206058887
"X486",95.5447040623991
"X487",95.7615254370734
"X488",95.9290176822482
"X489",96.1120445837271
"X490",96.2921842639968
"X491",96.4649237341556
"X492",96.6556256884495
"X493",96.7917490301677
"X494",97.028359201612
"X495",97.2179513512535
"X496",97.3921435614909
"X497",97.6064754040646
"X498",97.7972092199368
"X499",97.9467854525522
"X500",98.0463617952477
"X501",98.181099211132
"X502",98.3935250980815
"X503",98.5304045951776
"X504",98.6463807425697
