"","Overall"
"RAWLb1",0.0018229672903205
"RAWLb2",0.00208104017187027
"RAWLb3",0.002542008412777
"RAWLb4",0.00265581865497125
"RAWLb5",0.00529698868651477
"RAWLb6",0.00895566709999797
"RAWLb7",0.00820764815447019
"RAWSb1",0.00184580588624335
"RAWSb2",0.00214329450300191
"RAWSb3",0.00260467810149095
"RAWSb4",0.00265565806566418
"RAWSb5",0.00304266797025487
"RAWSb6",0.00343340744501394
"RAWSb7",0.00408513014268895
"RAWSb8",0.00500457876832472
"RAWSb9",0.00605530791981726
"RAWSb10",0.00835969930881496
"RAWSb11",0.008963750551058
"RAWSb12",0.00803574560993673
"RAWWb1",0.00250912295159839
"RAWWb2",0.00234884479769043
"RAWWb3",0.00260861065814365
"RAWWb4",0.00325957464608506
"RAWWb5",0.0048260773288443
"RAWWb6",0.00605656906105931
"RAWWb7",0.00787689914816274
"RAWWb8",0.00881698664445761
"RAWWb9",0.00907690627090645
"RAWWb10",0.00907690627090645
"RAWWb11",0.00907717396558954
"RAWWb12",0.00843731423789446
"RAWWb13",0.00786410464489926
"RAWWb14",0.00802668157193253
"SMOLb1",0.00182241162873168
"SMOLb2",0.00208113548668872
"SMOLb3",0.002541200985761
"SMOLb4",0.00265581012234337
"SMOLb5",0.00529680107501009
"SMOLb6",0.0089555850044056
"SMOLb7",0.00820742384141135
"SMOSb1",0.00184292267343335
"SMOSb2",0.00214111094045786
"SMOSb3",0.00260239981622007
"SMOSb4",0.00265526942687505
"SMOSb5",0.00304289597199213
"SMOSb6",0.00343405596946061
"SMOSb7",0.00408563180161635
"SMOSb8",0.00500477787127061
"SMOSb9",0.00605450716670558
"SMOSb10",0.0083557338766178
"SMOSb11",0.00896327193430316
"SMOSb12",0.0080335377709249
"SMOWb1",0.00250836073747685
"SMOWb2",0.00234968865206702
"SMOWb3",0.00260881265513422
"SMOWb4",0.00325986016289485
"SMOWb5",0.00482592065842812
"SMOWb6",0.00605647884863981
"SMOWb7",0.00787692077477805
"SMOWb8",0.00881692784570074
"SMOWb9",0.00907672402942592
"SMOWb10",0.00907672402942592
"SMOWb11",0.00907711758605858
"SMOWb12",0.00843639734872485
"SMOWb13",0.00786644751603229
"SMOWb14",0.00802598566200267
"SGDLb1",6.96692313253604e-06
"SGDLb2",6.89420629143965e-06
"SGDLb3",7.45874700994249e-07
"SGDLb4",9.51949789413967e-06
"SGDLb5",1.19484877301499e-05
"SGDLb6",3.08339115434092e-06
"SGDLb7",3.87932107413231e-06
"SGDSb1",6.41261738787228e-06
"SGDSb2",7.27675810123088e-06
"SGDSb3",1.83412867579585e-06
"SGDSb4",9.4242846755524e-06
"SGDSb5",1.0075305531554e-05
"SGDSb6",1.29023442460334e-05
"SGDSb7",1.63892312090675e-05
"SGDSb8",1.37316854584791e-05
"SGDSb9",7.01249998458258e-06
"SGDSb10",1.4141659395101e-05
"SGDSb11",3.14788247885266e-06
"SGDSb12",1.97467613317394e-05
"SGDWb1",2.76142696105111e-06
"SGDWb2",3.7128458330225e-06
"SGDWb3",9.31795517877995e-06
"SGDWb4",1.14339563664433e-05
"SGDWb5",1.398442663391e-05
"SGDWb6",8.30456919917116e-06
"SGDWb7",6.00353730596385e-06
"SGDWb8",3.97337156994295e-06
"SGDWb9",1.18961033548323e-06
"SGDWb10",1.18961033548323e-06
"SGDWb11",5.87228970883272e-07
"SGDWb12",1.39978435326636e-05
"SGDWb13",5.04481138984509e-06
"SGDWb14",6.67883377896431e-07
"RAWfe1a",0.00177974672050926
"RAWfe1s",0.0373749608187213
"RAWfe2a",0.0020724959547909
"RAWfe2s",0.0435226947219084
"RAWfe3a",0.00585650726511949
"RAWfe3s",0.122986932247824
"RAWfe4a",0.0015658511782011
"RAWfe4s",0.0328831543926871
"RAWfe5a",0.00184993989484678
"RAWfe5s",0.0388490174636745
"RAWfe6a",0.00177974672050926
"RAWfe6s",0.0373749608187213
"RAWfe7a",0.00246014076056052
"RAWfe7s",0.0516632356516242
"RAWfe8a",0.00251324410415824
"RAWfe8s",0.052778405867056
"RAWfe9a",0.00551239783737495
"RAWfe9s",0.115760634231103
