"","Overall"
"RAWclay9a",0.00674139712281067
"RAWclay9s",0.141573954652991
"RAWclay10a",0.00770481441400587
"RAWclay10s",0.161805717737249
"SMOfe1a",0.00177912161479111
"SMOfe1s",0.0373661689529508
"SMOfe2a",0.00207239292936741
"SMOfe2s",0.0435248665412506
"SMOfe3a",0.00585617273953465
"SMOfe3s",0.122984242620246
"SMOfe4a",0.00156622300257294
"SMOfe4s",0.0328952980523502
"SMOfe5a",0.00184926208199754
"SMOfe5s",0.0388391187635272
"SMOfe6a",0.00177912161479111
"SMOfe6s",0.0373661689529508
"SMOfe7a",0.00245962394332639
"SMOfe7s",0.0516567178526017
"SMOfe8a",0.00251296528113234
"SMOfe8s",0.0527768859636571
"SMOfe9a",0.0055120047893359
"SMOfe9s",0.115756715626086
"SMOorg1a",0.00906477797314848
"SMOorg1s",0.190364952498301
"SMOorg2a",0.00718653123261839
"SMOorg2s",0.150921770907423
"SMOorg3a",0.00475732050686459
"SMOorg3s",0.0999083456755529
"SMOorg4a",0.00841354018547534
"SMOorg4s",0.176688958951366
"SMOorg5a",0.00842231012517093
"SMOorg5s",0.176873127683912
"SMOorg6a",0.00644633736941664
"SMOorg6s",0.135377699795154
"SMOorg7a",0.00358656068205914
"SMOorg7s",0.0753223893835503
"SMOorg8a",0.00909059971732211
"SMOorg8s",0.190907209088602
"SMOorg9a",0.00905871808755568
"SMOorg9s",0.190237694912301
"SMOorg10a",0.00744321648014818
"SMOorg10s",0.156312161133534
"SMOorg11a",0.00763151702214927
"SMOorg11s",0.16026647249259
"SMOorg12a",0.00514955900141331
"SMOorg12s",0.108145354077056
"SMOorg13a",0.00543618431898713
"SMOorg13s",0.11416448573322
"SMOorg14a",0.0066221696090763
"SMOorg14s",0.139070176848089
"SMOorg15a",0.00803495620299769
"SMOorg15s",0.168738695314737
"SMOorg16a",0.00822447379230445
"SMOorg16s",0.172718564662909
"SMOorg17a",0.00859346340753091
"SMOorg17s",0.180467346589334
"SMOorg18a",0.00801582278371324
"SMOorg18s",0.168336893515658
"SMOorg19a",0.00909059971732211
"SMOorg19s",0.190907209088602
"SMOorg20a",0.00783171877997592
"SMOorg20s",0.164470709422934
"SMOorg21a",0.00907616023688465
"SMOorg21s",0.190603980043919
"SMOorg22a",0.00711874579411067
"SMOorg22s",0.149498276710431
"SMOorg23a",0.00871670170250046
"SMOorg23s",0.183055350786165
"SMOorg24a",0.00744600062743036
"SMOorg24s",0.156370628200995
"SMOclay1a",0.00798371187578038
"SMOclay1s",0.167662564462032
"SMOclay2a",0.00764557537516632
"SMOclay2s",0.160561697923164
"SMOclay3a",0.0085165775499242
"SMOclay3s",0.178852743617492
"SMOclay4a",0.00841354018547534
"SMOclay4s",0.176688958951366
"SMOclay5a",0.0077714585248215
"SMOclay5s",0.163205244065203
"SMOclay6a",0.00777902040500339
"SMOclay6s",0.163364043533551
"SMOclay7a",0.00795578767926794
"SMOclay7s",0.167076156321604
"SMOclay8a",0.00767729796926344
"SMOclay8s",0.161227872390082
"SMOclay9a",0.00674061664241667
"SMOclay9s",0.141557564560872
"SMOclay10a",0.00770439937211243
"SMOclay10s",0.161797001864618
"SGDfe1a",7.05194760927208e-06
"SGDfe1s",0.000152704574235572
"SGDfe2a",6.36370757261007e-06
"SGDfe2s",0.000138252216333883
"SGDfe3a",8.35979393501524e-06
"SGDfe3s",0.000180169702006682
"SGDfe4a",7.24566811625673e-06
"SGDfe4s",0.000156774278553346
"SGDfe5a",6.30925010152583e-06
"SGDfe5s",0.000137108499802046
"SGDfe6a",7.05194760927208e-06
"SGDfe6s",0.000152704574235572
"SGDfe7a",7.56500926082954e-06
"SGDfe7s",0.00016348039998603
"SGDfe8a",9.23101934374269e-06
"SGDfe8s",0.000198466479015535
"SGDfe9a",1.0371571276598e-05
"SGDfe9s",0.00022241813716382
"SGDorg1a",1.63175297146734e-06
"SGDorg1s",3.88842339711575e-05
"SGDorg2a",6.93632644052461e-06
"SGDorg2s",0.000150276599876853
"SGDorg3a",1.48653648043e-05
"SGDorg3s",0.000316787908158558
"SGDorg4a",5.22482817907549e-06
"SGDorg4s",0.000114336486122542
"SGDorg5a",7.739132752919e-06
"SGDorg5s",0.00016713560270079
"SGDorg6a",6.07901416902241e-06
"SGDorg6s",0.00013227308678493
"SGDorg7a",1.40998461385527e-05
"SGDorg7s",0.000300712261109343
"SGDorg8a",3.56755281917826e-07
"SGDorg8s",1.21074203090189e-05
"SGDorg9a",1.18938338066823e-06
"SGDorg9s",2.95896079540156e-05
"SGDorg10a",5.6005297643807e-06
"SGDorg10s",0.000122224853952937
"SGDorg11a",6.14604321309809e-06
"SGDorg11s",0.000133681326707194
"SGDorg12a",1.2633359338683e-05
"SGDorg12s",0.000269915927068172
"SGDorg13a",1.08339448696562e-05
"SGDorg13s",0.000232128032734514
"SGDorg14a",1.58264829241069e-05
"SGDorg14s",0.000336972330835385
"SGDorg15a",7.6067615702696e-06
"SGDorg15s",0.000164355935537054
"SGDorg16a",9.30897861077722e-06
"SGDorg16s",0.000200102233767526
"SGDorg17a",5.96301169318031e-06
"SGDorg17s",0.000129839075964702
"SGDorg18a",4.13878006124051e-06
"SGDorg18s",9.15277326827553e-05
"SGDorg19a",3.56755281917826e-07
"SGDorg19s",1.21074203090189e-05
"SGDorg20a",3.92833104014833e-06
"SGDorg20s",8.71100614138095e-05
"SGDorg21a",0
"SGDorg21s",4.61434127758645e-06
"SGDorg22a",1.56396189404669e-05
"SGDorg22s",0.000333047377345933
"SGDorg23a",2.16921225895084e-06
"SGDorg23s",5.01690054783056e-05
"SGDorg24a",6.6530344834422e-06
"SGDorg24s",0.000144328718762319
"SGDclay1a",2.14164995131513e-05
"SGDclay1s",0.000454361916390521
"SGDclay2a",8.69971198618991e-07
"SGDclay2s",2.28851036110115e-05
"SGDclay3a",1.35333719352057e-05
"SGDclay3s",0.000288815895008226
"SGDclay4a",5.22482817907549e-06
"SGDclay4s",0.000114336486122542
"SGDclay5a",1.74693589702115e-06
"SGDclay5s",4.13009924236053e-05
"SGDclay6a",5.36282255991401e-06
"SGDclay6s",0.00011723666467894
"SGDclay7a",7.74725322005378e-06
"SGDclay7s",0.000167306694675559
"SGDclay8a",6.62223754639695e-06
"SGDclay8s",0.000143681241596722
"SGDclay9a",1.201040066775e-05
"SGDclay9s",0.00025683414481684
"SGDclay10a",6.41398613342073e-06
"SGDclay10s",0.000139309176060481
"RAWORG25",0.135242908896267
"RAWR",0.00254973694263406
"RAWG",0.00253748802037818
"RAWB",0.00174998074829027
"RAWr",0.00275874362184551
"RAWg",0.00104453851882594
"RAWb",0.00171397435128931
"RAWCOL18",0.00441843666984278
"RAWCOL20",0.00609941400223537
"RAWCOL21",0.0127154685018986
"RAWCOL22",0.000787276520848183
"RAWCOL23",1.20181680961431e-05
"RAWCOL24",0.000669205077904502
"RAWCOL25",0.0093694987231992
"RAWCOL26",100
"RAWCOL27",0.00441843666984278
"RAWCOL28",0.00609941400223537
"RAWCOL29",0.00309390022785377
"RAWCOL30",0.0491763811435447
"RAWNFODI",0.000306944297894693
"RAWORG27",0.00701207641567256
"RAWG5",0.000928458430484388
"RAWG6",0.00126434603664395
