"","Overall"
"X361",76.5383031670169
"X362",61.4016667794915
"X363",59.5318913939163
"X364",72.0029438749054
"X365",65.6731670844222
"X366",52.8789255016252
"X367",41.80695551688
"X368",43.3065741133721
"X369",30.5521532549535
"X370",30.3764431458177
"X371",27.4794500733626
"X372",46.326706011905
"X373",26.2656160054293
"X374",29.8996080640462
"X375",36.4410287144658
"X376",29.842052406805
"X377",22.5628128743153
"X378",14.4649708222035
"X379",8.15341668305759
"X380",8.26833397886355
"X381",11.6570092153871
"X382",12.3118877983863
"X383",9.74891563495251
"X384",7.69505609305128
"X385",7.32595995838047
"X386",8.28058147105279
"X387",11.6481096742107
"X388",10.0332558100963
"X389",6.53262528266219
"X390",4.30161443597551
"X391",17.6866587784788
"X392",31.7333994953665
"X393",35.2050261059106
"X394",27.3904343030135
"X395",21.0359864950537
"X396",12.2061254559568
"X397",6.67929830808565
"X398",9.33283463731567
"X399",10.4138009920392
"X400",4.88547369432176
"X401",3.38583184133427
"X402",4.54932055486038
"X403",13.0840352643057
"X404",18.9497911171988
"X405",19.579963925965
"X406",18.060294746035
"X407",13.5446397271818
"X408",11.1911636099173
"X409",12.4650273280137
"X410",14.787273530734
"X411",7.54216597167478
"X412",2.27618942724492
"X413",5.3005142920382
"X414",2.93055798350381
"X415",7.47847093753181
"X416",10.0785912413629
"X417",7.03732738486928
"X418",7.6006448221786
"X419",10.6070767547336
"X420",14.5717415075283
"X421",20.3503242760296
"X422",22.4972873702401
"X423",18.4754421576005
"X424",14.1404979423199
"X425",14.6804550683573
"X426",15.6707104785254
"X427",16.0505178163577
"X428",13.3773070036282
"X429",14.6489722006569
"X430",16.6756075294343
"X431",18.2210205756817
"X432",18.5294040411558
"X433",19.3178939217085
"X434",18.6867427366757
"X435",17.2090627895922
"X436",12.108898335925
"X437",8.19194514092074
"X438",8.79673439598265
"X439",9.75134717072332
"X440",10.2302309549266
"X441",11.0714896196992
"X442",12.4295978304442
"X443",13.3433012175081
"X444",13.9255011150384
"X445",15.7772705195187
"X446",17.6069722086536
"X447",15.6615991132916
"X448",13.4074515334962
"X449",12.8231476737439
"X450",12.4594712586613
"X451",10.2818131072174
"X452",9.02852192401901
"X453",10.7330164518147
"X454",13.4169326405599
"X455",14.5860881067952
"X456",15.5787355129111
"X457",16.3262027900656
"X458",17.5348974914141
"X459",18.8508480113334
"X460",18.6457659280652
"X461",15.6635786692086
"X462",12.2253339098675
"X463",9.97609080500509
"X464",9.66198622428545
"X465",11.153854280067
"X466",11.3095721135255
"X467",10.2540940042439
"X468",8.57089032631678
"X469",8.38601120057347
"X470",10.7769492382107
"X471",12.6422525691788
"X472",12.5696242010162
"X473",11.0974022845417
"X474",9.93984280230431
"X475",8.93474277643206
"X476",9.53480755508303
